Student_ID,Age,Gender,Study_Hours,Screen_Time_Hours,Social_Media_Hours,Sleep_Hours,Productivity_Score,Cognitive_Test_Score,Stress_Level,Device_Type,Screen_Time_Category,Social_Media_Category
61,20.0,Male,4.13,5.64,2.26,5.55,97.0,91.0,Medium,Mobile,Medium,Medium
62,20.0,Male,5.0,7.31,3.46,6.35,88.0,87.0,High,Laptop,High,Medium
63,19.0,Male,5.7,7.93,4.85,6.65,82.0,82.0,High,Laptop,High,Medium
64,19.0,Male,1.39,5.93,2.56,7.99,86.0,93.0,Medium,Mobile,Medium,Medium
65,22.0,Male,5.1,4.46,3.0,6.85,87.0,88.0,Medium,Laptop,Medium,Medium
66,23.0,Female,3.48,2.45,1.14,8.12,100.0,100.0,Low,Mobile,Low,Low
67,20.0,Female,7.84,4.63,2.14,7.51,100.0,94.0,Medium,Mobile,Medium,Medium
68,22.0,Male,4.31,4.77,2.17,7.28,97.0,95.0,Medium,Laptop,Medium,Medium
69,21.0,Male,5.33,6.21,2.51,7.7,89.0,88.0,Medium,Mobile,High,Medium
70,20.0,Male,4.66,5.31,3.35,6.61,99.0,94.0,Medium,Laptop,Medium,Medium
71,21.0,Male,3.12,7.38,4.89,6.26,69.0,84.0,High,Mobile,High,Medium
72,23.0,Female,3.76,4.77,2.79,7.24,86.0,99.0,Medium,Mobile,Medium,Medium
73,20.0,Male,6.44,5.89,2.69,6.51,91.0,86.0,Medium,Mobile,Medium,Medium
74,23.0,Male,4.94,8.37,4.06,6.93,88.0,83.0,High,Mobile,High,Medium
75,18.0,Male,6.63,6.68,3.63,6.29,92.0,80.0,Medium,Mobile,High,Medium
76,22.0,Female,4.6,5.88,4.04,7.21,84.0,82.0,Medium,Laptop,Medium,Medium
77,21.0,Female,5.21,4.8,2.28,7.16,93.0,92.0,Medium,Tablet,Medium,Medium
78,20.0,Male,4.56,4.73,2.93,7.43,100.0,95.0,Medium,Laptop,Medium,Medium
79,21.0,Male,4.67,4.3,2.29,6.97,100.0,100.0,Medium,Laptop,Medium,Medium
80,18.0,Female,3.57,4.92,2.41,6.94,93.0,91.0,Medium,Mobile,Medium,Medium
81,20.0,Female,4.15,7.51,4.03,6.77,85.0,85.0,High,Mobile,High,Medium
82,21.0,Male,3.68,5.56,2.34,7.25,81.0,91.0,Medium,Mobile,Medium,Medium
83,23.0,Female,5.84,3.3,2.11,7.54,100.0,93.0,Low,Mobile,Medium,Medium
84,20.0,Female,3.64,9.54,4.51,7.66,69.0,85.0,High,Laptop,High,Medium
85,19.0,Female,4.65,6.64,4.1,6.08,94.0,91.0,Medium,Mobile,High,Medium
86,20.0,Female,7.35,3.19,1.34,7.51,100.0,100.0,Low,Mobile,Medium,Low
87,22.0,Female,4.72,5.12,3.52,5.92,100.0,88.0,Medium,Mobile,Medium,Medium
88,21.0,Male,5.34,6.22,2.85,7.25,94.0,89.0,Medium,Mobile,High,Medium
89,20.0,Female,5.94,9.41,6.26,5.43,73.0,81.0,High,Mobile,High,High
90,21.0,Female,6.73,3.78,2.43,7.22,100.0,95.0,Low,Laptop,Medium,Medium
91,21.0,Female,5.3,7.95,5.49,6.31,90.0,89.0,High,Mobile,High,High
92,22.0,Male,3.29,8.8,4.78,6.66,70.0,85.0,High,Laptop,High,Medium
93,19.0,Female,5.15,4.74,2.93,6.81,90.0,95.0,Medium,Mobile,Medium,Medium
94,20.0,Female,3.09,5.44,2.78,6.64,87.0,94.0,Medium,Laptop,Medium,Medium
95,20.0,Male,5.72,3.93,1.79,8.56,91.0,97.0,Low,Laptop,Medium,Low
96,18.0,Female,4.95,5.59,2.98,7.31,88.0,92.0,Medium,Laptop,Medium,Medium
97,21.0,Female,4.55,5.93,2.67,6.57,87.0,83.0,Medium,Mobile,Medium,Medium
98,21.0,Female,5.34,7.32,5.08,6.54,91.0,87.0,High,Mobile,High,High
99,21.0,Male,2.4,8.18,3.51,7.88,71.0,87.0,High,Tablet,High,Medium
100,20.0,Male,6.91,4.5,2.6,7.11,100.0,91.0,Medium,Mobile,Medium,Medium
101,18.0,Female,6.76,2.07,1.22,7.23,100.0,100.0,Low,Mobile,Low,Low
102,20.0,Male,4.43,5.96,3.35,6.46,93.0,84.0,Medium,Mobile,Medium,Medium
103,20.0,Female,4.14,6.59,3.95,6.44,85.0,86.0,Medium,Laptop,High,Medium
104,19.0,Male,4.93,6.5,2.83,6.42,93.0,98.0,Medium,Mobile,High,Medium
105,20.0,Male,6.52,5.35,3.03,6.11,100.0,86.0,Medium,Laptop,Medium,Medium
106,21.0,Male,4.55,6.25,3.04,6.05,84.0,85.0,Medium,Mobile,High,Medium
107,23.0,Female,3.76,9.03,6.16,5.73,83.0,76.0,High,Mobile,High,High
108,21.0,Male,4.29,6.76,4.25,7.32,85.0,97.0,Medium,Mobile,High,Medium
109,21.0,Male,6.86,5.25,3.63,6.85,98.0,96.0,Medium,Mobile,Medium,Medium
110,20.0,Male,4.36,5.0,2.06,7.03,91.0,96.0,Medium,Mobile,Medium,Medium
111,18.0,Male,4.57,5.66,2.75,8.08,92.0,98.0,Medium,Mobile,Medium,Medium
112,20.0,Female,5.28,9.27,4.25,7.38,77.0,75.0,High,Mobile,High,Medium
113,21.0,Female,4.79,5.63,2.27,6.85,89.0,92.0,Medium,Laptop,Medium,Medium
114,24.0,Male,5.88,5.96,2.82,6.5,90.0,90.0,Medium,Mobile,Medium,Medium
115,20.0,Female,3.69,5.04,3.04,6.5,82.0,91.0,Medium,Mobile,Medium,Medium
116,21.0,Male,3.59,8.2,3.85,7.11,77.0,82.0,High,Mobile,High,Medium
117,20.0,Female,5.11,9.92,5.48,6.05,75.0,91.0,High,Mobile,High,High
118,19.0,Female,3.42,6.9,4.6,6.51,87.0,90.0,Medium,Mobile,High,Medium
119,22.0,Female,4.27,6.17,3.75,6.32,86.0,95.0,Medium,Mobile,High,Medium
120,22.0,Male,4.79,6.07,3.15,6.37,87.0,88.0,Medium,Laptop,High,Medium
121,22.0,Female,4.74,1.23,0.63,8.21,100.0,100.0,Low,Mobile,Low,Low
122,19.0,Male,3.56,7.49,4.02,5.65,78.0,84.0,High,Laptop,High,Medium
123,23.0,Female,4.55,6.27,2.84,7.74,90.0,100.0,Medium,Mobile,High,Medium
124,18.0,Male,4.3,6.86,4.05,6.4,82.0,88.0,Medium,Laptop,High,Medium
125,21.0,Female,6.46,4.58,2.33,7.16,96.0,91.0,Medium,Mobile,Medium,Medium
126,24.0,Female,6.58,5.23,3.43,6.08,94.0,86.0,Medium,Mobile,Medium,Medium
127,19.0,Female,3.72,5.18,3.25,7.15,90.0,91.0,Medium,Laptop,Medium,Medium
128,20.0,Male,4.02,8.04,4.69,6.33,85.0,89.0,High,Mobile,High,Medium
129,21.0,Female,5.54,5.24,2.67,7.11,99.0,88.0,Medium,Mobile,Medium,Medium
130,20.0,Male,5.07,10.17,4.71,7.34,72.0,76.0,Very High,Mobile,High,Medium
131,18.0,Female,5.1,6.86,4.34,6.97,76.0,89.0,Medium,Laptop,High,Medium
132,21.0,Male,5.61,3.45,1.88,6.87,100.0,100.0,Low,Laptop,Medium,Low
133,19.0,Male,5.38,5.74,2.68,6.48,91.0,87.0,Medium,Laptop,Medium,Medium
134,21.0,Female,5.7,4.7,2.16,7.74,100.0,99.0,Medium,Tablet,Medium,Medium
135,19.0,Male,4.7,1.61,0.72,8.92,100.0,100.0,Low,Mobile,Low,Low
136,23.0,Male,3.77,9.2,5.82,6.59,78.0,80.0,High,Mobile,High,High
137,19.0,Male,5.83,7.41,3.47,7.27,98.0,81.0,High,Laptop,High,Medium
138,20.0,Male,3.93,7.07,3.95,7.27,77.0,89.0,High,Tablet,High,Medium
139,22.0,Female,4.56,6.33,3.39,8.07,100.0,92.0,Medium,Mobile,High,Medium
140,19.0,Female,5.04,3.24,1.86,5.99,100.0,91.0,Low,Tablet,Medium,Low
141,21.0,Male,2.01,5.03,3.34,7.73,92.0,98.0,Medium,Mobile,Medium,Medium
142,22.0,Male,4.02,7.68,5.07,7.45,86.0,84.0,High,Laptop,High,High
143,18.0,Male,5.49,3.9,2.09,6.35,94.0,97.0,Low,Laptop,Medium,Medium
144,21.0,Male,5.4,0.94,0.38,7.3,100.0,100.0,Low,Laptop,Low,Low
145,21.0,Female,3.25,5.55,2.93,6.41,92.0,91.0,Medium,Mobile,Medium,Medium
146,22.0,Female,3.53,5.72,3.33,6.47,91.0,88.0,Medium,Mobile,Medium,Medium
147,19.0,Male,5.34,6.27,3.56,6.56,95.0,84.0,Medium,Mobile,High,Medium
148,19.0,Male,6.43,7.46,4.44,6.9,90.0,81.0,High,Mobile,High,Medium
149,21.0,Male,5.77,7.28,3.25,7.44,87.0,89.0,High,Laptop,High,Medium
150,21.0,Female,2.73,6.52,3.87,7.76,73.0,95.0,Medium,Tablet,High,Medium
151,21.0,Female,4.81,8.39,3.82,5.85,90.0,83.0,High,Mobile,High,Medium
152,21.0,Male,4.62,2.96,1.85,6.93,100.0,100.0,Low,Mobile,Low,Low
153,19.0,Male,3.5,5.93,3.52,7.85,84.0,91.0,High,Mobile,Medium,Medium
154,21.0,Female,3.57,7.25,4.44,7.27,77.0,89.0,High,Mobile,High,Medium
155,21.0,Female,6.09,3.52,1.46,7.56,100.0,97.0,Low,Laptop,Medium,Low
156,19.0,Male,6.55,2.99,1.56,7.98,100.0,100.0,Low,Laptop,Low,Low
157,23.0,Male,4.83,4.51,2.76,7.27,95.0,99.0,Medium,Tablet,Medium,Medium
158,21.0,Male,4.8,4.68,2.19,7.68,100.0,99.0,Medium,Mobile,Medium,Medium
159,19.0,Female,4.6,7.51,4.8,6.43,78.0,81.0,High,Mobile,High,Medium
160,21.0,Male,5.55,4.77,2.81,7.46,94.0,100.0,Medium,Mobile,Medium,Medium
161,19.0,Male,6.42,4.29,2.47,6.13,98.0,93.0,Medium,Mobile,Medium,Medium
162,22.0,Female,3.32,4.78,2.42,6.69,85.0,95.0,Medium,Tablet,Medium,Medium
163,22.0,Male,3.85,8.24,4.49,6.01,77.0,78.0,High,Mobile,High,Medium
164,19.0,Female,3.21,6.03,3.49,6.69,78.0,88.0,Medium,Mobile,High,Medium
165,22.0,Male,4.55,5.64,3.06,6.33,89.0,90.0,Medium,Laptop,Medium,Medium
166,21.0,Male,4.29,5.78,3.52,6.62,91.0,93.0,Medium,Laptop,Medium,Medium
167,22.0,Female,3.67,8.58,4.55,5.27,77.0,87.0,High,Mobile,High,Medium
168,23.0,Male,3.99,4.5,2.07,7.74,94.0,96.0,Medium,Laptop,Medium,Medium
169,20.0,Female,1.93,8.63,4.01,6.41,74.0,80.0,High,Mobile,High,Medium
170,19.0,Female,1.86,6.42,2.58,5.55,72.0,93.0,Medium,Tablet,High,Medium
171,19.0,Male,4.44,5.68,2.78,6.4,89.0,96.0,Medium,Mobile,Medium,Medium
172,19.0,Female,2.48,11.0,6.87,6.27,63.0,74.0,Very High,Mobile,High,High
173,20.0,Male,4.32,3.89,2.48,6.99,95.0,96.0,Low,Mobile,Medium,Medium
174,21.0,Female,6.3,5.29,2.44,6.58,83.0,96.0,Medium,Mobile,Medium,Medium
175,21.0,Male,4.21,3.54,2.43,7.43,100.0,100.0,Low,Mobile,Medium,Medium
176,22.0,Female,5.63,7.9,4.35,6.89,90.0,92.0,High,Laptop,High,Medium
177,21.0,Male,5.43,9.38,6.33,5.17,86.0,72.0,High,Mobile,High,High
178,23.0,Male,1.16,9.34,5.72,6.77,67.0,86.0,High,Laptop,High,High
179,20.0,Female,3.88,8.45,5.21,5.87,77.0,79.0,High,Mobile,High,High
180,25.0,Female,4.14,5.6,2.38,7.07,92.0,92.0,Medium,Mobile,Medium,Medium
181,21.0,Male,1.22,5.27,2.46,7.12,85.0,88.0,Medium,Tablet,Medium,Medium
182,19.0,Male,3.77,2.66,1.07,7.25,100.0,100.0,Low,Laptop,Low,Low
183,19.0,Female,4.21,10.07,6.19,5.37,75.0,75.0,Very High,Mobile,High,High
184,21.0,Female,6.64,6.94,3.49,6.58,91.0,94.0,Medium,Mobile,High,Medium
185,20.0,Male,5.88,5.02,3.19,8.5,92.0,100.0,Medium,Laptop,Medium,Medium
186,22.0,Male,4.09,8.66,4.34,5.38,74.0,77.0,High,Mobile,High,Medium
187,21.0,Male,5.06,4.05,2.62,8.74,95.0,100.0,Medium,Mobile,Medium,Medium
188,20.0,Female,6.28,6.81,2.99,6.63,86.0,89.0,Medium,Mobile,High,Medium
189,19.0,Male,7.18,5.65,2.55,7.1,98.0,88.0,Medium,Mobile,Medium,Medium
190,18.0,Male,3.41,7.28,3.66,5.87,82.0,82.0,High,Mobile,High,Medium
191,20.0,Female,2.14,5.87,3.07,6.41,87.0,93.0,Medium,Laptop,Medium,Medium
192,22.0,Male,2.85,3.1,1.56,7.18,98.0,100.0,Low,Mobile,Medium,Low
193,21.0,Male,6.04,6.15,3.87,6.13,96.0,87.0,Medium,Mobile,High,Medium
194,19.0,Male,3.81,8.1,3.48,6.41,75.0,78.0,High,Laptop,High,Medium
195,21.0,Male,4.74,5.93,3.0,6.69,89.0,93.0,Medium,Laptop,Medium,Medium
196,21.0,Male,1.89,7.55,4.92,8.17,72.0,92.0,High,Mobile,High,Medium
197,19.0,Female,4.22,3.91,1.64,6.49,100.0,98.0,Low,Laptop,Medium,Low
198,21.0,Male,4.16,5.95,4.06,7.09,82.0,89.0,Medium,Laptop,Medium,Medium
199,21.0,Female,5.12,4.75,3.31,7.45,98.0,91.0,Medium,Mobile,Medium,Medium
200,19.0,Female,3.57,7.49,3.2,5.85,86.0,89.0,High,Mobile,High,Medium
201,21.0,Female,3.24,6.06,2.95,7.54,88.0,98.0,Medium,Laptop,High,Medium
202,21.0,Male,3.14,7.38,3.78,6.41,67.0,76.0,High,Mobile,High,Medium
203,22.0,Male,5.3,8.18,5.18,4.57,85.0,80.0,High,Mobile,High,High
204,22.0,Male,4.38,5.93,4.27,7.25,85.0,86.0,High,Laptop,Medium,Medium
205,18.0,Male,5.07,6.55,3.89,6.0,90.0,90.0,Medium,Mobile,High,Medium
206,19.0,Male,4.02,4.0,2.51,6.56,97.0,94.0,Medium,Laptop,Medium,Medium
207,21.0,Female,0.96,5.99,2.61,7.55,83.0,88.0,Medium,Mobile,Medium,Medium
208,21.0,Male,4.19,4.93,3.2,6.94,92.0,93.0,Medium,Mobile,Medium,Medium
209,21.0,Male,3.67,5.31,3.25,7.87,84.0,88.0,Medium,Mobile,Medium,Medium
210,25.0,Male,5.14,5.25,3.01,8.12,93.0,97.0,Medium,Mobile,Medium,Medium
211,21.0,Female,9.03,4.04,2.69,6.88,100.0,98.0,Medium,Laptop,Medium,Medium
212,22.0,Male,6.51,2.09,1.28,8.42,100.0,100.0,Low,Laptop,Low,Low
213,22.0,Female,8.19,4.66,2.15,6.66,100.0,92.0,Medium,Mobile,Medium,Medium
214,21.0,Male,5.07,6.39,3.38,8.71,89.0,92.0,Medium,Tablet,High,Medium
215,20.0,Female,4.55,3.3,1.81,6.99,94.0,100.0,Low,Mobile,Medium,Low
216,22.0,Female,4.91,6.03,2.51,7.81,91.0,91.0,Medium,Mobile,High,Medium
217,19.0,Male,5.5,9.8,6.73,6.92,78.0,81.0,High,Mobile,High,High
218,20.0,Male,6.08,8.05,3.53,6.84,77.0,87.0,High,Mobile,High,Medium
219,20.0,Male,2.82,9.29,5.66,5.81,67.0,79.0,High,Laptop,High,High
220,21.0,Male,4.57,6.78,3.74,6.72,84.0,92.0,Medium,Mobile,High,Medium
221,24.0,Female,2.08,8.34,3.4,4.81,63.0,84.0,High,Mobile,High,Medium
222,18.0,Female,5.92,4.55,3.08,7.47,97.0,100.0,Medium,Mobile,Medium,Medium
223,22.0,Female,6.75,4.71,3.09,7.54,100.0,89.0,Medium,Laptop,Medium,Medium
224,18.0,Female,6.19,0.52,0.29,8.2,100.0,100.0,Low,Laptop,Low,Low
225,20.0,Male,2.99,8.37,3.92,4.15,83.0,79.0,High,Laptop,High,Medium
226,22.0,Male,4.01,9.08,3.96,5.37,73.0,81.0,High,Mobile,High,Medium
227,21.0,Female,5.33,4.89,2.49,6.62,100.0,100.0,Medium,Mobile,Medium,Medium
228,19.0,Male,4.75,5.49,2.62,7.34,95.0,96.0,Medium,Mobile,Medium,Medium
229,19.0,Female,5.17,4.49,2.48,7.53,88.40113941018767,94.0,Medium,Mobile,Medium,Medium
230,22.0,Male,4.06,6.77,4.67,6.71,89.0,84.0,Medium,Laptop,High,Medium
231,19.0,Male,5.02,8.25,4.72,7.06,84.0,82.0,High,Mobile,High,Medium
232,21.0,Female,6.43,2.51,1.67,6.88,100.0,100.0,Low,Mobile,Low,Low
233,21.0,Male,3.07,6.82,4.06,7.32,85.0,84.0,Medium,Mobile,High,Medium
234,20.0,Female,3.45,5.45,2.96,7.49,86.0,95.0,Medium,Mobile,Medium,Medium
235,24.0,Female,4.13,6.23,4.09,7.26,92.0,86.0,Medium,Mobile,High,Medium
236,21.0,Female,5.11,6.92,3.75,6.67,89.0,89.0,Medium,Mobile,High,Medium
237,18.0,Female,4.79,5.62,3.71,8.54,90.0,99.0,Medium,Mobile,Medium,Medium
238,21.0,Female,3.79,5.79,2.82,7.44,93.0,97.0,Medium,Tablet,Medium,Medium
239,20.0,Female,4.94,5.57,2.44,6.31,99.0,95.0,Medium,Mobile,Medium,Medium
240,22.0,Male,3.52,7.94,5.21,6.81,76.0,82.0,High,Laptop,High,High
241,19.0,Male,5.3,6.84,3.94,7.43,83.0,92.0,Medium,Laptop,High,Medium
242,20.0,Female,4.77,6.44,4.29,6.44,89.0,93.0,Medium,Laptop,High,Medium
243,21.0,Male,4.88,3.46,2.36,8.38,100.0,99.0,Low,Mobile,Medium,Medium
244,22.0,Male,5.01,5.24,2.18,7.46,93.0,93.0,Medium,Mobile,Medium,Medium
245,19.0,Male,5.54,7.8,4.29,4.77,85.0,77.0,High,Laptop,High,Medium
246,20.0,Female,3.79,6.08,3.12,7.22,86.0,89.0,Medium,Mobile,High,Medium
247,20.0,Female,4.59,7.32,4.3,6.41,97.0,89.0,High,Mobile,High,Medium
248,20.0,Male,3.36,9.53,6.08,6.72,77.0,80.0,High,Mobile,High,High
249,23.0,Female,4.39,8.08,3.91,7.34,85.0,85.0,High,Laptop,High,Medium
250,21.0,Female,3.66,6.19,3.51,7.12,85.0,94.0,Medium,Tablet,High,Medium
251,19.0,Female,4.94,4.98,3.05,8.54,94.0,100.0,Medium,Mobile,Medium,Medium
252,22.0,Female,7.36,5.93,0.39,7.88,100.0,100.0,Low,Mobile,Medium,Low
253,24.0,Female,3.48,5.66,3.65,7.57,87.0,85.0,Medium,Laptop,Medium,Medium
254,22.0,Male,3.1,5.35,3.11,7.77,94.0,96.0,Medium,Mobile,Medium,Medium
255,18.0,Female,2.72,6.78,4.64,6.77,74.0,83.0,Medium,Mobile,High,Medium
256,20.0,Male,3.19,5.69,2.86,7.69,80.0,95.0,Medium,Mobile,Medium,Medium
257,22.0,Female,5.41,5.36,2.32,6.65,100.0,89.0,Medium,Laptop,Medium,Medium
258,19.0,Female,3.88,2.44,1.35,7.37,100.0,99.0,Low,Mobile,Low,Low
259,21.0,Male,4.71,4.12,1.75,6.33,100.0,91.0,Medium,Mobile,Medium,Low
260,22.0,Male,4.96,6.95,4.8,7.0,86.0,87.0,Medium,Mobile,High,Medium
261,19.0,Female,3.97,9.43,3.88,6.57,69.0,74.0,High,Laptop,High,Medium
262,20.0,Male,4.1,5.8,3.63,7.98,78.0,92.0,Medium,Tablet,Medium,Medium
263,18.0,Female,4.53,6.66,3.71,7.5,83.0,83.0,Medium,Mobile,High,Medium
264,19.0,Male,4.06,7.9,4.03,6.39,79.0,91.0,High,Tablet,High,Medium
265,20.0,Male,4.72,4.38,1.84,6.38,98.0,93.0,Medium,Mobile,Medium,Low
266,19.0,Female,4.03,6.73,3.95,7.2,84.0,88.0,Medium,Mobile,High,Medium
267,23.0,Female,7.63,4.52,2.6,8.18,98.0,100.0,Medium,Tablet,Medium,Medium
268,18.0,Female,4.95,7.73,3.74,7.26,84.0,84.0,High,Mobile,High,Medium
269,20.0,Male,7.39,6.3,4.24,7.81,100.0,98.0,Medium,Mobile,High,Medium
270,21.0,Female,3.72,6.6,3.24,6.71,93.0,91.0,Medium,Mobile,High,Medium
271,23.0,Female,4.87,4.43,2.37,6.94,94.0,100.0,Medium,Laptop,Medium,Medium
272,18.0,Female,2.48,7.41,4.17,6.13,77.0,79.0,High,Laptop,High,Medium
273,22.0,Female,2.28,10.17,4.37,6.12,69.0,78.0,Very High,Laptop,High,Medium
274,21.0,Female,7.39,3.98,2.71,7.34,100.0,89.0,Low,Mobile,Medium,Medium
275,19.0,Male,4.08,5.32,2.73,7.3,93.0,90.0,Medium,Laptop,Medium,Medium
276,21.0,Male,6.67,6.46,2.74,6.8,95.0,87.0,Medium,Mobile,High,Medium
277,21.0,Female,2.54,7.57,3.91,6.58,77.0,88.0,High,Laptop,High,Medium
278,20.0,Male,3.57,4.88,2.83,6.6,93.0,98.0,Medium,Laptop,Medium,Medium
279,21.0,Female,5.74,0.5,0.28,8.85,100.0,100.0,Low,Mobile,Low,Low
280,20.0,Male,3.61,8.72,5.3,6.52,70.0,82.0,High,Mobile,High,High
281,21.0,Female,5.15,7.52,3.13,6.56,91.0,91.0,High,Mobile,High,Medium
282,21.0,Female,6.09,2.51,1.22,7.1,100.0,100.0,Low,Laptop,Low,Low
283,23.0,Male,4.37,4.78,3.09,6.18,93.0,97.0,Medium,Mobile,Medium,Medium
284,19.0,Male,3.4,9.14,3.88,7.42,73.0,75.0,High,Mobile,High,Medium
285,24.0,Male,3.25,8.9,5.84,6.86,70.0,73.0,High,Mobile,High,High
286,18.0,Female,2.84,7.88,3.37,5.32,77.0,81.0,High,Mobile,High,Medium
287,20.0,Female,3.54,5.65,3.67,7.68,86.0,93.0,Medium,Laptop,Medium,Medium
288,21.0,Male,5.68,6.17,3.14,7.7,89.0,93.0,Medium,Mobile,High,Medium
289,21.0,Female,2.38,5.74,3.35,7.15,87.0,96.0,Medium,Mobile,Medium,Medium
